Sequence Number,Source File Name,Source Field Name,Target File Name,Target Field Name,Mapping Rule Type,Mapping Rule1,Mapping Rule2,Mapping Rule3,Mapping Rule4,Mapping Rule5
1,Salsify Export.csv,Launch Season,ATG_DemandPlanning.csv,Attr_Season,Direct,,,,,
2,Salsify Export.csv,Launch Quarter,All_Attributes_AG.csv,Attr_Launch_Quarter,Direct,,,,,
3,MARA.csv,PRDHA,ATG_AllYetiAttributeGroup.csv,Attr_Category,Direct,,,,,
4,MARA.csv,PRDHA,ATG_AllYetiAttributeGroup.csv,Attr_CategoryType,Direct,,,,,
5,MARA.csv,PRDHA,ATG_AllYetiAttributeGroup.csv,Attr_ProductType,Direct,,,,,
6,MARA.csv,PRDHA,ATG_AllYetiAttributeGroup.csv,Attr_MasterSku,Direct,,,,,
7,MARA.csv,PRDHA,ATG_DemandPlanning.csv,Attr_Color,Direct,,,,,
8,MARA.csv,PRDHA,ATG_DemandPlanning.csv,Attr_SkuName,Direct,,,,,
9,MARA.csv,MAKTX,ATG_DemandPlanning.csv,Attr_SAPName,Direct,,,,,
10,MARA.csv,MATNR,ATG_DemandPlanning.csv,Attr_PartNumber,Direct,,,,,
11,MARA.csv,MATNR,ATG_DemandPlanning.csv,Attr_CustomPartNumber,Direct,,,,,
12,MARA.csv,MATNR,ATG_DemandPlanning.csv,Attr_INTLPartNumber,Direct,,,,,
13,MARA.csv,MATNR,ATG_DemandPlanning.csv,Attr_INTLCustomPartNumber,Direct,,,,,
14,MARA.csv,MATNR,ATG_DemandPlanning.csv,Attr_EUPartNumber,Direct,,,,,
15,MARA.csv,EAN11,ATG_DemandPlanning.csv,Attr_UPC,Direct,,,,,
16,MARA.csv,EAN11,ATG_DemandPlanning.csv,Attr_EUUPC,Direct,,,,,
17,MARA.csv,PRDHA,ATG_DemandPlanning.csv,Attr_FinishedSKUProductHierarchy,Direct,,,,,
18,MARA.csv,PRDHA,ATG_DemandPlanning.csv,Attr_CustomHierarchy,Direct,,,,,
19,A900.csv,VKORG,ATG_AllYetiAttributeGroupPricing.csv,Attr_WHSLPrice,Direct,,,,,
20,A900.csv,VKORG,ATG_AllYetiAttributeGroupPricing.csv,Attr_WHSLDiscount,Direct,,,,,
21,A900.csv,VKORG,ATG_AllYetiAttributeGroupPricing.csv,Attr_WHSLPrice,Direct,,,,,
22,A900.csv,VKORG,ATG_AllYetiAttributeGroupPricing.csv,Attr_WHSLDiscount,Direct,,,,,
23,Salsify Export.csv,FDA Product Code,Region Product.csv,Attr_FDAProductCode,Direct,,,,,
24,Salsify Export.csv,FDA Product Code,Region Product.csv,Attr_FDAProductCodeNew,Direct,,,,,
