CheckList Number,CheckList Name,Enabled,CheckList Detail,Severity,Remarks,ReviewAccepted,DeveloperComment
1,GenerateError,Yes,Check for individually handled generate error activity in process,Medium,Please validate the generate error activities which are implemented for individual activities,,
2,ProcessVariable,Yes,Check for usage of costly process variables,Medium,please validate if process variable can be removed by other variable,,
3,JMSHeaderProperty,Yes,Check for missing usage of header properties in JMS Queue/Topic sender,Low,please validate if header level properties can be created and used,,
4,JMSPreserveProperty,Yes,Check for missing JMS_TIBCO_PRESERVE_UNDELIVERED property in JMS Queue/Topic sender,Low,please validate for business critical messages JMS_TIBCO_PRESERVE_UNDELIVERED property should be configured,,
5,DurableTopicSubscriber,Yes,Check for durable topic subscriber,Low,please validate the durable topic subscriber,,
6,ConfirmActivity,Yes,Check for absence of confirm activity for subscriber client acknowledgment mode,High,please validate to use confirm activity for client acknowledged subscriber,,
7,JMSHardcodedTimeout,No,Check for hardcoded/default timeout in JMS Queue/Topic receivers,High,please validate hardcoded/default timeout value in JMS Queue/Topic receivers,,
8,JMSHardcodedDestination,Yes,Check for hardcoded destination in JMS Queue/Topic receivers,High,please validate hardcoded destination in JMS Queue/Topic receivers,,
9,JMSHardcodedMaxSession,Yes,Check for hardcoded/default maxSession in JMS Queue/Topic receivers,High,please validate hardcoded/default maxSession in JMS Queue/Topic receivers,,
10,JMSPermittedmessagetype,Yes,Check for PermittedMessageType set other than Text type in JMS Queue/Topic receivers,Low,please validate whether permitted message type could be set as Text,,
11,SpawnedCheck,Yes,Check for spawned sub-process usage,Low,please validate the spawned sub-process call,,
12,CustomeJavaCode,Yes,Check for custom java code activity usage,Medium,please validate the custom java code activity configuration,,
13,MapperCount,Yes,Check whether more than two mapper activity is used,Low,please try to use appropriate number of mapper in any given process,,
14,ComplexeMapperActivity,Yes,Check whether complex mapper activity is used,Medium,Please validate the activity as it as large or complex mapping used,,
15,LocalVaribale,Yes,Check whether local variables created and used in mapping,Low,please validate if local variables are created and used properly,,
16,BlankXpath,Yes,Check whether any xpath is null/blank or missing,High,activity has missing xpath logic,,
17,NoMatchingTransition,Yes,Check for probable No-Matching-Transition (missing otherwise transition),High,activity has Success-with-Condition with xpath,,
18,ActivityNotConnected,Yes,Check for activity which is not connected through any transition,High,activity has missing transition,,
19,ActivityCount,Yes,Check for process where it has more than 20 activities,Low,any process should not have more than 20 activities so that it can be easily readable and easier to debug,,
20,ReadAndParseFileInsteadOfParseData,Yes,Check for two Read-file followed by parse-xml activity instead of one parse-data activity usage,High,validate if the two Read-file and parse-xml activities can be replaced with one parse-data activity,,
21,SchemaVerification,Yes,Check all schemas are in the appropriate folder,Low,Please make sure all the schemas are in appropriate folder,,
22,TransitionCondition,Yes,Check all the Transition activities conditioned accordingly,High,"Please make sure all the Transition activities conditioned accordingly such as: Success, Success with condition, Success if no matching condition, and Error",,
23,TransitionLabel,Yes,Check all the major transition has a label,Low,Please validate Major Transition has a label.  Especially the ones that has two or more transition from one activity or going to one activity,,
24,Encryption,Yes,Check all the username and passwords are encrypted,High,Please make sure usernames and passwords are defined using global variables and passwords should be encrypted,,
25,JavaLogging,Yes,Checkwhether any java code has sysout statements,High,Java parts shall not use System.out logging,,
26,CommonLoggingCalls,Yes,Check whether all calls to common-logging and exception-handling implemented correctly,High,Calls to Common-Logging and Exception Handling Interfaces are correctly implemented with all relevant meta-data filled in.,,
27,ErrorLogging,Yes,Check whether errors are logged with error (or warning) level,High,Please check all errors are logged with error (or warning) level,,
28,JMSMessagingStandards,Yes,Check for naming standards for JMS,Medium,"Please follow naming standards for Subject, Topic and Queue names",,
29,PublishSubject,Yes,Check whether Publishers not using wildcards in subject names,High,Please avoid wildcards in subject names.,,
30,QueueReaderSubject,Yes,Check whether Queue readers not using wildcards in subject names,High,Please avoid wildcards in subject names.,,
31,EMSConnectionFactory,Yes,Check whether appropriate connection factories are being used for connecting to EMS,High,Please validate connection factories are being used for connecting to EMS,,
32,EMSAcknowledgementMode,Yes,"Check all Queue and Topic receiver activities ""Acknowledge mode is set to Client or Tibco Explicit EMS",High,"Please check all Queue and Topic receiver activities ""Acknowledge mode is set to Client or Tibco Explicit EMS",,
33,Logging,Yes,Check whether log has entire process path,High,Please validate logging Event/Component name has the entire process path,,
34,GlobalVariables,Yes,Check for appropriate GV value,High,"Please validate appropriate GV value (no 'zero' for max rows, timeout etc or Blank GVs), as per standard",,
